LANGUAGE_ID;ID;LABEL
ES;OFFICIAL;Resultados oficiales
ES;BREAKDOWN_BY_PARTY_TITLE;Escaños por partidos políticos
ES;FINAL;Resultados definitivos
ES;EU_HEMICYCLE_TITLE;Hemiciclo
ES;PROJECTION;Proyección de resultados
ES;SEATS_BY_GROUP_TITLE;Escaños por grupos
ES;PROVISIONAL;Resultados provisionales
ES;EU_GENDER_BALANCE_TITLE;Paridad de género en la UE
ES;RESULTS_BY_PARTY_TITLE;Partidos políticos con resultados
ES;EU_TURNOUT_TITLE;Participación electoral
ES;CONSTITUTIVE;Sesión constitutiva
ES;ESTIMATE;Estimaciones
ES;GENDER_BALANCE_TITLE;Paridad de género
ES;OUTGOING;Parlamento saliente
EN;OFFICIAL;Official results
EN;BREAKDOWN_BY_PARTY_TITLE;Breakdown parties
EN;FINAL;Final results
EN;EU_HEMICYCLE_TITLE;Hemicycle
EN;PROJECTION;Projection
EN;SEATS_BY_GROUP_TITLE;Breakdown groups
EN;PROVISIONAL;Provisional results
EN;EU_GENDER_BALANCE_TITLE;EU Gender Balance
EN;RESULTS_BY_PARTY_TITLE;Results parties
EN;EU_TURNOUT_TITLE;Turnout
EN;CONSTITUTIVE;Constitutive session
EN;ESTIMATE;Estimates
EN;GENDER_BALANCE_TITLE;Gender Balance
EN;OUTGOING;Outgoing Parliament
BG;OFFICIAL;Официални резултати
BG;BREAKDOWN_BY_PARTY_TITLE;Разбивка по партии
BG;FINAL;Окончателни резултати
BG;EU_HEMICYCLE_TITLE;Състав
BG;PROJECTION;Проекция
BG;SEATS_BY_GROUP_TITLE;Разбивка по групи
BG;PROVISIONAL;Предварителни резултати
BG;EU_GENDER_BALANCE_TITLE;Съотношение между мъжете и жените в ЕС
BG;RESULTS_BY_PARTY_TITLE;Резултати по партии
BG;EU_TURNOUT_TITLE;Избирателна активност
BG;CONSTITUTIVE;Учредително заседание
BG;ESTIMATE;Приблизителни оценки
BG;GENDER_BALANCE_TITLE;Съотношение между мъжете и жените
BG;OUTGOING;Парламент в края на мандата
CS;OFFICIAL;Oficiální výsledky
CS;BREAKDOWN_BY_PARTY_TITLE;Rozdělení stran
CS;FINAL;Konečné výsledky
CS;EU_HEMICYCLE_TITLE;Polokruh
CS;PROJECTION;Předpoklad
CS;SEATS_BY_GROUP_TITLE;Rozdělení skupin
CS;PROVISIONAL;Prozatímní výsledky
CS;EU_GENDER_BALANCE_TITLE;Zastoupení mužů a žen EU
CS;RESULTS_BY_PARTY_TITLE;Výsledky stran
CS;EU_TURNOUT_TITLE;Účast
CS;CONSTITUTIVE;Ustavující zasedání
CS;ESTIMATE;Odhady
CS;GENDER_BALANCE_TITLE;Zastoupení mužů a žen
